Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1986-10-01,310.35294,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-02,264.5,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-03,263.0,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-04,259.0,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-05,253.375,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-06,246.125,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-07,242.0,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-08,248.0,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-09,245.75,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-10,243.125,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-11,243.375,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-12,242.125,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-13,242.0,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-14,239.75,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-15,238.0,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-16,236.875,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-17,236.5,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-18,245.625,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-19,251.125,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-20,247.75,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-21,247.5,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-22,240.375,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-23,239.0,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-24,239.0,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-25,235.75,streamflow,10130500,ft3/s,"['A', '[91]']",0
1986-10-26,234.04347,streamflow,10130500,ft3/s,"['A', '[91]']",0
